Date,Commodity,Market,Volume,Price,Region
2024-01-01,Cabbage,Metro Manila,1250.5,28.50,NCR
2024-01-02,Cabbage,Metro Manila,1180.2,29.00,NCR
2024-01-03,Cabbage,Metro Manila,1320.8,27.80,NCR
2024-01-04,Cabbage,Metro Manila,1290.4,28.20,NCR
2024-01-05,Cabbage,Metro Manila,1350.6,28.90,NCR
2024-01-08,Cabbage,Metro Manila,1280.3,29.50,NCR
2024-01-09,Cabbage,Metro Manila,1310.7,28.70,NCR
2024-01-10,Cabbage,Metro Manila,1260.9,29.20,NCR
2024-01-11,Cabbage,Metro Manila,1340.2,28.40,NCR
2024-01-12,Cabbage,Metro Manila,1295.5,28.80,NCR
2024-01-15,Cabbage,Metro Manila,1380.4,29.10,NCR
2024-01-16,Cabbage,Metro Manila,1270.8,28.60,NCR
2024-01-17,Cabbage,Metro Manila,1330.6,29.30,NCR
2024-01-18,Cabbage,Metro Manila,1305.2,28.50,NCR
2024-01-19,Cabbage,Metro Manila,1360.9,29.00,NCR
2024-01-22,Cabbage,Metro Manila,1290.7,28.90,NCR
2024-01-23,Cabbage,Metro Manila,1320.5,29.20,NCR
2024-01-24,Cabbage,Metro Manila,1275.3,28.70,NCR
2024-01-25,Cabbage,Metro Manila,1345.8,29.40,NCR
2024-01-26,Cabbage,Metro Manila,1310.4,28.80,NCR
2024-01-01,Tomato,Metro Manila,980.3,45.50,NCR
2024-01-02,Tomato,Metro Manila,1020.7,46.20,NCR
2024-01-03,Tomato,Metro Manila,950.5,44.80,NCR
2024-01-04,Tomato,Metro Manila,1010.2,45.90,NCR
2024-01-05,Tomato,Metro Manila,990.8,45.30,NCR
2024-01-08,Tomato,Metro Manila,1040.6,46.50,NCR
2024-01-09,Tomato,Metro Manila,970.4,45.10,NCR
2024-01-10,Tomato,Metro Manila,1015.9,46.00,NCR
2024-01-11,Tomato,Metro Manila,995.3,45.70,NCR
2024-01-12,Tomato,Metro Manila,1030.7,46.30,NCR
2024-01-15,Tomato,Metro Manila,960.5,44.90,NCR
2024-01-16,Tomato,Metro Manila,1005.8,45.80,NCR
2024-01-17,Tomato,Metro Manila,985.2,45.40,NCR
2024-01-18,Tomato,Metro Manila,1025.6,46.10,NCR
2024-01-19,Tomato,Metro Manila,975.9,45.60,NCR
2024-01-22,Tomato,Metro Manila,1050.4,46.70,NCR
2024-01-23,Tomato,Metro Manila,965.7,45.20,NCR
2024-01-24,Tomato,Metro Manila,1010.3,45.90,NCR
2024-01-25,Tomato,Metro Manila,1000.8,46.40,NCR
2024-01-26,Tomato,Metro Manila,990.5,45.50,NCR
2024-01-01,Potato,Metro Manila,1580.9,35.20,NCR
2024-01-02,Potato,Metro Manila,1620.4,36.00,NCR
2024-01-03,Potato,Metro Manila,1550.7,34.80,NCR
2024-01-04,Potato,Metro Manila,1605.3,35.70,NCR
2024-01-05,Potato,Metro Manila,1575.8,35.40,NCR
2024-01-08,Potato,Metro Manila,1640.2,36.20,NCR
2024-01-09,Potato,Metro Manila,1565.6,35.10,NCR
2024-01-10,Potato,Metro Manila,1610.9,35.80,NCR
2024-01-11,Potato,Metro Manila,1590.4,35.50,NCR
2024-01-12,Potato,Metro Manila,1630.7,36.10,NCR
2024-01-15,Potato,Metro Manila,1555.3,34.90,NCR
2024-01-16,Potato,Metro Manila,1600.8,35.60,NCR
2024-01-17,Potato,Metro Manila,1585.2,35.30,NCR
2024-01-18,Potato,Metro Manila,1625.6,36.00,NCR
2024-01-19,Potato,Metro Manila,1570.9,35.20,NCR
2024-01-22,Potato,Metro Manila,1650.4,36.40,NCR
2024-01-23,Potato,Metro Manila,1560.7,35.00,NCR
2024-01-24,Potato,Metro Manila,1615.3,35.90,NCR
2024-01-25,Potato,Metro Manila,1595.8,35.70,NCR
2024-01-26,Potato,Metro Manila,1635.2,36.30,NCR
2024-02-01,Cabbage,Metro Manila,1400.5,30.20,NCR
2024-02-02,Cabbage,Metro Manila,1370.8,29.80,NCR
2024-02-05,Cabbage,Metro Manila,1420.3,30.50,NCR
2024-02-06,Cabbage,Metro Manila,1385.7,30.00,NCR
2024-02-07,Cabbage,Metro Manila,1410.2,30.30,NCR
2024-02-08,Cabbage,Metro Manila,1395.6,30.10,NCR
2024-02-09,Cabbage,Metro Manila,1430.9,30.60,NCR
2024-02-12,Cabbage,Metro Manila,1380.4,29.90,NCR
2024-02-13,Cabbage,Metro Manila,1405.8,30.20,NCR
2024-02-14,Cabbage,Metro Manila,1390.5,30.00,NCR
2024-02-15,Cabbage,Metro Manila,1425.7,30.50,NCR
2024-02-16,Cabbage,Metro Manila,1375.3,29.70,NCR
2024-02-19,Cabbage,Metro Manila,1415.6,30.40,NCR
2024-02-20,Cabbage,Metro Manila,1400.9,30.10,NCR
2024-02-21,Cabbage,Metro Manila,1435.4,30.70,NCR
2024-02-22,Cabbage,Metro Manila,1385.2,29.80,NCR
2024-02-23,Cabbage,Metro Manila,1410.7,30.30,NCR
2024-02-26,Cabbage,Metro Manila,1395.8,30.00,NCR
2024-02-27,Cabbage,Metro Manila,1420.5,30.40,NCR
2024-02-28,Cabbage,Metro Manila,1380.6,29.90,NCR
2024-02-01,Tomato,Metro Manila,1080.5,48.20,NCR
2024-02-02,Tomato,Metro Manila,1050.8,47.50,NCR
2024-02-05,Tomato,Metro Manila,1100.3,48.80,NCR
2024-02-06,Tomato,Metro Manila,1065.7,47.90,NCR
2024-02-07,Tomato,Metro Manila,1090.2,48.40,NCR
2024-02-08,Tomato,Metro Manila,1075.6,48.00,NCR
2024-02-09,Tomato,Metro Manila,1110.9,49.10,NCR
2024-02-12,Tomato,Metro Manila,1060.4,47.60,NCR
2024-02-13,Tomato,Metro Manila,1085.8,48.20,NCR
2024-02-14,Tomato,Metro Manila,1070.5,47.80,NCR
2024-02-15,Tomato,Metro Manila,1105.7,48.70,NCR
2024-02-16,Tomato,Metro Manila,1055.3,47.40,NCR
2024-02-19,Tomato,Metro Manila,1095.6,48.50,NCR
2024-02-20,Tomato,Metro Manila,1080.9,48.10,NCR
2024-02-21,Tomato,Metro Manila,1115.4,49.00,NCR
2024-02-22,Tomato,Metro Manila,1065.2,47.70,NCR
2024-02-23,Tomato,Metro Manila,1090.7,48.30,NCR
2024-02-26,Tomato,Metro Manila,1075.8,47.90,NCR
2024-02-27,Tomato,Metro Manila,1100.5,48.60,NCR
2024-02-28,Tomato,Metro Manila,1060.6,47.50,NCR
2024-02-01,Potato,Metro Manila,1720.5,38.20,NCR
2024-02-02,Potato,Metro Manila,1690.8,37.50,NCR
2024-02-05,Potato,Metro Manila,1740.3,38.80,NCR
2024-02-06,Potato,Metro Manila,1705.7,37.90,NCR
2024-02-07,Potato,Metro Manila,1730.2,38.40,NCR
2024-02-08,Potato,Metro Manila,1715.6,38.00,NCR
2024-02-09,Potato,Metro Manila,1750.9,39.10,NCR
2024-02-12,Potato,Metro Manila,1700.4,37.60,NCR
2024-02-13,Potato,Metro Manila,1725.8,38.20,NCR
2024-02-14,Potato,Metro Manila,1710.5,37.80,NCR
2024-02-15,Potato,Metro Manila,1745.7,38.70,NCR
2024-02-16,Potato,Metro Manila,1695.3,37.40,NCR
2024-02-19,Potato,Metro Manila,1735.6,38.50,NCR
2024-02-20,Potato,Metro Manila,1720.9,38.10,NCR
2024-02-21,Potato,Metro Manila,1755.4,39.00,NCR
2024-02-22,Potato,Metro Manila,1705.2,37.70,NCR
2024-02-23,Potato,Metro Manila,1730.7,38.30,NCR
2024-02-26,Potato,Metro Manila,1715.8,37.90,NCR
2024-02-27,Potato,Metro Manila,1740.5,38.60,NCR
2024-02-28,Potato,Metro Manila,1700.6,37.50,NCR